Unnamed: 0,Owner,Team,League,Recipient,Amount,Election Year,Party,Performance,Degree
0,Alan Smolinisky,LOS ANGELES DODGERS,MLB,Americans for Tomorrow's Future,"$10,000 ",2020,,0.717,
1,Alan Smolinisky,LOS ANGELES DODGERS,MLB,Stand with Sanchez,"$2,800 ",2020,Democrat,0.717,
2,Alex Meruelo,ARIZONA COYOTES,NHL,All For Our Country Leadership PAC ,"$5,000 ",2020,Democrat,0.529,
3,Alex Meruelo,ARIZONA COYOTES,NHL,Nevadans for Steven Horsford,"$2,800 ",2020,Democrat,0.529,
4,Alex Meruelo,ARIZONA COYOTES,NHL,Esmeralda Soria for Congress,$500 ,2020,Democrat,0.529,
5,Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563,
6,Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.563,
7,Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688,
8,Amy Adams Strunk,TENNESSEE TITANS,NFL,Portman for Senate Committee,"$2,700 ",2016,Republican,0.563,
9,Amy Adams Strunk,TENNESSEE TITANS,NFL,Republican National Committee,$400 ,2016,Republican,0.563,
12,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$10,600 ",2020,Republican,0.433,
13,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2016,Bipartisan,0.457,
14,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2018,Bipartisan,0.494,
15,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,COLLINS FOR SENATOR,"$5,600 ",2020,Republican,0.433,
16,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican,0.433,
17,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican,0.494,
18,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Trump Victory,"$5,400 ",2018,Republican,0.494,
19,Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan,0.433,
20,Arthur Blank,ATLANTA FALCONS,NFL,Biden Victory Fund,"$35,500 ",2020,Democrat,0.25,
21,Arthur Blank,ATLANTA FALCONS,NFL,Hillary Victory Fund,"$25,000 ",2016,Democrat,0.688,
22,Arthur Blank,ATLANTA FALCONS,NFL,Bullock Victory Fund,"$15,600 ",2020,Democrat,0.25,
23,Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.688,
24,Arthur Blank,ATLANTA FALCONS,NFL,Georgia Federal Elections Committee,"$10,000 ",2018,Democrat,0.438,
25,Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$10,000 ",2020,Bipartisan,0.25,
26,Arthur Blank,ATLANTA FALCONS,NFL,Georgians For Isakson,"$5,400 ",2016,Republican,0.688,
27,Arthur Blank,ATLANTA FALCONS,NFL,Hillary For America,"$5,400 ",2016,Democrat,0.688,
28,Arthur Blank,ATLANTA FALCONS,NFL,Montanans For Tester,"$5,400 ",2018,Democrat,0.438,
29,Arthur Blank,ATLANTA FALCONS,NFL,Tester Victory Fund,"$5,400 ",2018,Democrat,0.438,
30,Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan,0.438,
31,Arthur Blank,ATLANTA FALCONS,NFL,The Home Depot Inc. Political Action Committee,"$5,000 ",2020,"Bipartisan, but mostly Republican",0.25,
32,Arthur Blank,ATLANTA FALCONS,NFL,Homrich Congress,"$2,800 ",2020,Republican,0.25,
33,Arthur Blank,ATLANTA FALCONS,NFL,Evan Bayh Committee,"$1,000 ",2016,Democrat,0.688,
34,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$14,000 ",2018,Bipartisan,0.594,
35,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$12,000 ",2016,Bipartisan,0.688,
36,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.688,
37,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.594,
38,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BIDEN FOR PRESIDENT,"$5,000 ",2020,Democrat,0.75,
39,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.75,
40,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$5,000 ",2020,Bipartisan,0.75,
41,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BOB CASEY FOR SENATE INC,"$2,700 ",2018,Democrat,0.594,
42,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,REDWINGMCPAC,"$2,400 ",2018,Republican,0.594,
43,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BILL SHUSTER FOR CONGRESS,"$2,000 ",2016,Republican,0.688,
44,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,FRIENDS OF PAT TOOMEY,"$2,000 ",2016,Republican,0.688,
45,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,O'MALLEY FOR PRESIDENT,"$2,000 ",2016,Democrat,0.688,
46,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,F.N.B. CORPORATION PAC,"$1,150 ",2016,Republican,0.688,
47,Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,CONOR LAMB FOR CONGRESS,"$1,000 ",2020,Democrat,0.75,
49,Bill Cameron,DALLAS WINGS,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$13,103 ",2018,"Bipartisan, but mostly Republican",0.441,
51,Bill Cameron,DALLAS WINGS,WNBA,TED CRUZ VICTORY COMMITTEE,"$7,700 ",2018,Republican,0.441,
52,Bill Cameron,DALLAS WINGS,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$6,852 ",2020,"Bipartisan, but mostly Republican",0.364,
55,Bill Cameron,DALLAS WINGS,WNBA,BETH LINDSTROM FOR US SENATE INC,"$2,700 ",2018,Republican,0.441,
56,Bill Cameron,DALLAS WINGS,WNBA,LUCAS FOR CONGRESS,"$2,000 ",2018,Republican,0.441,
57,Bill Cameron,DALLAS WINGS,WNBA,MCSALLY FOR SENATE INC,"$1,000 ",2018,Republican,0.441,
58,Bill Cameron,DALLAS WINGS,WNBA,HERN FOR CONGRESS,"$1,000 ",2020,Republican,0.364,
59,Bill Cameron,DALLAS WINGS,WNBA,THOM TILLIS COMMITTEE,"$1,000 ",2020,Republican,0.364,
75,Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Alaskans for Dan Sullivan,"$1,000 ",2020,Republican,0.694,
76,Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Brad Wenstrup Victory Fund,"$1,000 ",2020,Republican,0.694,
77,Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Ohio Republican Party State Central & Executive Committee,"$1,000 ",2020,Republican,0.694,
78,Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Steve Daines for Montana,$500 ,2020,Republican,0.694,
79,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,1820 PAC,"$250,000 ",2020,Republican,0.606,
80,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,TRUMP VICTORY,"$250,000 ",2020,Republican,0.606,
81,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,NEW REPUBLICAN PAC,"$206,100 ",2018,Republican,0.665,
82,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,DEFENDARIZONA,"$100,000 ",2018,Republican,0.665,
83,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,SENATE LEADERSHIP FUND,"$82,300 ",2018,Republican,0.665,
84,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,RICK SCOTT VICTORY FUND,"$36,600 ",2018,Republican,0.665,
85,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,MCSALLY ARIZONA VICTORY FUND,"$20,400 ",2018,Republican,0.665,
86,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,HELLER VICTORY COMMITTEE,"$17,700 ",2018,Republican,0.665,
87,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,ROSENDALE VICTORY FUND,"$15,300 ",2018,Republican,0.665,
88,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400 ",2018,Republican,0.665,
89,Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,JOSH HAWLEY FOR SENATE,"$5,400 ",2018,Republican,0.665,
90,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,TRUMP VICTORY,"$17,501 ",2020,Republican,0.818,
91,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,600 ",2020,Democrat,0.818,
92,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,SUSIE LEE FOR CONGRESS,"$5,600 ",2020,Democrat,0.818,
93,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,HELLER FOR SENATE,"$5,400 ",2018,Republican,0.424,
94,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,400 ",2018,Democrat,0.424,
95,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,SUSIE LEE FOR CONGRESS,"$5,400 ",2018,Democrat,0.424,
96,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,AMERICAN POSSIBILITIES PAC,"$5,000 ",2018,Democrat,0.424,
97,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat,0.818,
98,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,ACTBLUE,"$1,120 ",2020,Democrat,0.818,
99,Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,ROMNEY FOR UTAH INC,"$1,000 ",2018,Republican,0.424,
100,Billie Jean King,LOS ANGELES DODGERS,MLB,Amy for America,"$2,800 ",2020,Democrat,0.717,
101,Billie Jean King,LOS ANGELES DODGERS,MLB,"Amy McGrath for Senate, Inc.","$2,800 ",2020,Democrat,0.717,
102,Billie Jean King,LOS ANGELES DODGERS,MLB,Biden for President,"$2,800 ",2020,Democrat,0.717,
103,Billie Jean King,LOS ANGELES DODGERS,MLB,DSCC,"$1,400 ",2020,Democrat,0.717,
104,Billie Jean King,LOS ANGELES DODGERS,MLB,Jaime Harrison for US Senate,"$1,400 ",2020,Democrat,0.717,
105,Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2016,Bipartisan,0.484,
106,Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.509,
107,Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,0.317,
108,Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,000 ",2018,Bipartisan,0.414,
109,Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2016,Bipartisan,0.586,
110,Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2020,Bipartisan,0.367,
111,Bobby Patton,LOS ANGELES DODGERS,MLB,Hillary Victory Fund,"$36,100 ",2016,Democrat,0.562,
112,Bruce Sherman,MIAMI MARLINS,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,0.517,
113,Bruce Sherman,MIAMI MARLINS,MLB,Ro for Congress,"$2,700 ",2018,Democrat,0.391,
114,Bruce Sherman,MIAMI MARLINS,MLB,Ro for Congress,"$1,000 ",2020,Democrat,0.517,
115,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563,
116,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.313,
117,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,600 ",2020,Democrat,0.688,
118,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat,0.313,
119,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688,
120,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$2,700 ",2016,Democrat,0.563,
121,Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Rick Scott for Florida,"$2,700 ",2018,Republican,0.313,
122,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,McConnell for Majority Leader Committee,"$10,600 ",2020,Republican,0.433,
123,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$10,000 ",2018,Bipartisan,0.494,
124,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Collins for Senator,"$5,600 ",2020,Republican,0.433,
125,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Tiffany Shedd for Congress Committee,"$5,600 ",2020,Republican,0.433,
126,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,McSally for Senate Inc.,"$5,400 ",2018,Republican,0.494,
127,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Trump Victory,"$5,400 ",2018,Republican,0.494,
128,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2016,Bipartisan,0.457,
129,Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2020,Bipartisan,0.433,
130,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$1,850,000 ",2018,Republican,0.451,
131,Charles Johnson,SAN FRANCISCO GIANTS,MLB,RIGHT TO RISE USA,"$1,500,000 ",2016,Republican,0.537,
132,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SENATE LEADERSHIP FUND,"$1,300,000 ",2018,Republican,0.451,
133,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SENATE LEADERSHIP FUND,"$1,000,000 ",2020,Republican,0.483,
134,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TAKE BACK THE HOUSE 2020,"$750,000 ",2020,Republican,0.483,
135,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$500,000 ",2020,Republican,0.483,
136,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TEAM RYAN,"$472,700 ",2018,Republican,0.451,
137,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TRUMP VICTORY,"$435,200 ",2020,Republican,0.483,
138,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$300,000 ",2016,Republican,0.537,
139,Charles Johnson,SAN FRANCISCO GIANTS,MLB,REPUBLICAN NATIONAL COMMITTEE,"$282,400 ",2016,Republican,0.537,
140,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TEAM RYAN,"$244,200 ",2016,Republican,0.537,
141,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CORNYN MAJORITY COMMITTEE,"$150,000 ",2018,Republican,0.451,
142,Charles Johnson,SAN FRANCISCO GIANTS,MLB,FIGHTING FOR OHIO FUND,"$100,000 ",2016,Republican,0.537,
143,Charles Johnson,SAN FRANCISCO GIANTS,MLB,GREAT AMERICA PAC,"$100,000 ",2016,Republican,0.537,
144,Charles Johnson,SAN FRANCISCO GIANTS,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,"$100,000 ",2016,Republican,0.537,
145,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TRUMP VICTORY,"$100,000 ",2016,Republican,0.537,
146,Charles Johnson,SAN FRANCISCO GIANTS,MLB,NEW REPUBLICAN PAC,"$100,000 ",2018,Republican,0.451,
147,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TRUMP VICTORY,"$100,000 ",2018,Republican,0.451,
148,Charles Johnson,SAN FRANCISCO GIANTS,MLB,1820 PAC,"$100,000 ",2020,Republican,0.483,
149,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MCCONNELL VICTORY COMMITTEE,"$81,600 ",2020,Republican,0.483,
150,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SENATE LEADERSHIP FUND,"$75,000 ",2016,Republican,0.537,
151,Charles Johnson,SAN FRANCISCO GIANTS,MLB,INTEGRITY NJ,"$75,000 ",2018,Republican,0.451,
152,Charles Johnson,SAN FRANCISCO GIANTS,MLB,FIGHTING FOR FLORIDA FUND,"$50,000 ",2016,Republican,0.537,
153,Charles Johnson,SAN FRANCISCO GIANTS,MLB,VICTORY 2016,"$50,000 ",2016,Republican,0.537,
154,Charles Johnson,SAN FRANCISCO GIANTS,MLB,RESTORATION PAC,"$50,000 ",2018,Republican,0.451,
155,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MOONEY VICTORY FUND,"$35,600 ",2020,Republican,0.483,
156,Charles Johnson,SAN FRANCISCO GIANTS,MLB,NRSC,"$35,000 ",2018,Republican,0.451,
157,Charles Johnson,SAN FRANCISCO GIANTS,MLB,THE 2016 COMMITTEE,"$30,000 ",2016,Republican,0.537,
158,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MOONEY VICTORY FUND,"$30,000 ",2018,Republican,0.451,
159,Charles Johnson,SAN FRANCISCO GIANTS,MLB,RESTORATION PAC,"$25,000 ",2016,Republican,0.537,
160,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"WE THE PEOPLE, NOT WASHINGTON","$25,000 ",2016,Republican,0.537,
161,Charles Johnson,SAN FRANCISCO GIANTS,MLB,FLORIDA VOTES COUNT,"$25,000 ",2018,Republican,0.451,
162,Charles Johnson,SAN FRANCISCO GIANTS,MLB,STARS AND STRIPES FOREVER PAC,"$25,000 ",2018,Republican,0.451,
163,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,"$25,000 ",2020,Republican,0.483,
164,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MOONEY VICTORY FUND,"$17,800 ",2016,Republican,0.537,
165,Charles Johnson,SAN FRANCISCO GIANTS,MLB,RENACCI FOR OHIO VICTORY FUND,"$15,000 ",2018,Republican,0.451,
166,Charles Johnson,SAN FRANCISCO GIANTS,MLB,BURR NC VICTORY FUND,"$12,700 ",2016,Republican,0.537,
167,Charles Johnson,SAN FRANCISCO GIANTS,MLB,STEIL VICTORY FUND,"$12,700 ",2018,Republican,0.451,
168,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MIMI WALTERS VICTORY FUND,"$10,800 ",2018,Republican,0.451,
169,Charles Johnson,SAN FRANCISCO GIANTS,MLB,GRASSLEY HAWKEYE FUND,"$10,400 ",2016,Republican,0.537,
170,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,"$10,000 ",2016,Republican,0.537,
171,Charles Johnson,SAN FRANCISCO GIANTS,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2016,"Bipartisan, but mostly Republican",0.537,
172,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MISSOURI RISING ACTION,"$10,000 ",2018,Republican,0.451,
173,Charles Johnson,SAN FRANCISCO GIANTS,MLB,PROTECT THE HOUSE,"$10,000 ",2018,Republican,0.451,
174,Charles Johnson,SAN FRANCISCO GIANTS,MLB,TRUE NORTH PAC,"$10,000 ",2018,Republican,0.451,
175,Charles Johnson,SAN FRANCISCO GIANTS,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2018,"Bipartisan, but mostly Republican",0.451,
176,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SCALISE LEADERSHIP FUND,"$10,000 ",2020,Republican,0.483,
177,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SENATE CONSERVATIVES ACTION,"$10,000 ",2020,Republican,0.483,
178,Charles Johnson,SAN FRANCISCO GIANTS,MLB,UTAH REPUBLICAN PARTY,"$10,000 ",2020,Republican,0.483,
179,Charles Johnson,SAN FRANCISCO GIANTS,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),"$10,000 ",2020,Republican,0.483,
180,Charles Johnson,SAN FRANCISCO GIANTS,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000 ",2020,"Bipartisan, but mostly Republican",0.483,
181,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CORNYN MAJORITY COMMITTEE,"$7,500 ",2020,Republican,0.483,
182,Charles Johnson,SAN FRANCISCO GIANTS,MLB,ALEX MOONEY FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
183,Charles Johnson,SAN FRANCISCO GIANTS,MLB,AMANDA MAKKI FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
184,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"ANDY BARR FOR CONGRESS, INC.","$5,600 ",2020,Republican,0.483,
185,Charles Johnson,SAN FRANCISCO GIANTS,MLB,ANNA PAULINA LUNA FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
186,Charles Johnson,SAN FRANCISCO GIANTS,MLB,ASHLEY HINSON FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
187,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"BOLDUC 2020, INC.","$5,600 ",2020,Republican,0.483,
188,Charles Johnson,SAN FRANCISCO GIANTS,MLB,BRIAN FITZPATRICK FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
189,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CARLA SPALDING FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
190,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CARMELITA FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
191,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CAROL FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
192,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CHIP ROY FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
193,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CHURCH FOR WISCONSIN,"$5,600 ",2020,Republican,0.483,
194,Charles Johnson,SAN FRANCISCO GIANTS,MLB,CUMMINGS FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
195,Charles Johnson,SAN FRANCISCO GIANTS,MLB,DARRELL ISSA FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
196,Charles Johnson,SAN FRANCISCO GIANTS,MLB,DON BACON FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
197,Charles Johnson,SAN FRANCISCO GIANTS,MLB,DOUG LAMALFA COMMITTEE,"$5,600 ",2020,Republican,0.483,
198,Charles Johnson,SAN FRANCISCO GIANTS,MLB,ELISE FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
199,Charles Johnson,SAN FRANCISCO GIANTS,MLB,FISCHBACH FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
200,Charles Johnson,SAN FRANCISCO GIANTS,MLB,FRIENDS OF HAGEDORN,"$5,600 ",2020,Republican,0.483,
201,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"FRIENDS OF LEON BENJAMIN, INC.","$5,600 ",2020,Republican,0.483,
202,Charles Johnson,SAN FRANCISCO GIANTS,MLB,GARDNER VICTORY COMMITTEE,"$5,600 ",2020,Republican,0.483,
203,Charles Johnson,SAN FRANCISCO GIANTS,MLB,HUIZENGA FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
204,Charles Johnson,SAN FRANCISCO GIANTS,MLB,HURD FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
205,Charles Johnson,SAN FRANCISCO GIANTS,MLB,JAIME FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
206,Charles Johnson,SAN FRANCISCO GIANTS,MLB,JASON LEWIS FOR SENATE,"$5,600 ",2020,Republican,0.483,
207,Charles Johnson,SAN FRANCISCO GIANTS,MLB,JOHN CARTER FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
208,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"JOHN JAMES FOR SENATE, INC.","$5,600 ",2020,Republican,0.483,
209,Charles Johnson,SAN FRANCISCO GIANTS,MLB,KATKO FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
210,Charles Johnson,SAN FRANCISCO GIANTS,MLB,KIM KLACIK FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
211,Charles Johnson,SAN FRANCISCO GIANTS,MLB,KISTNER FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
212,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MARIO DIAZ-BALART FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
213,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MAST VICTORY COMMITTEE,"$5,600 ",2020,Republican,0.483,
214,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"MCCAUL FOR CONGRESS, INC","$5,600 ",2020,Republican,0.483,
215,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MCGUIRE FOR VIRGINIA,"$5,600 ",2020,Republican,0.483,
216,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MCSALLY FOR SENATE INC,"$5,600 ",2020,Republican,0.483,
217,Charles Johnson,SAN FRANCISCO GIANTS,MLB,MIKE GARCIA FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
218,Charles Johnson,SAN FRANCISCO GIANTS,MLB,NICOLE FOR NEW YORK,"$5,600 ",2020,Republican,0.483,
219,Charles Johnson,SAN FRANCISCO GIANTS,MLB,OLSON FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican,0.483,
220,Charles Johnson,SAN FRANCISCO GIANTS,MLB,PATRIOTS FOR PERRY,"$5,600 ",2020,Republican,0.483,
221,Charles Johnson,SAN FRANCISCO GIANTS,MLB,PORTMAN FOR SENATE COMMITTEE,"$5,600 ",2020,Republican,0.483,
222,Charles Johnson,SAN FRANCISCO GIANTS,MLB,ROSS SPANO FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
223,Charles Johnson,SAN FRANCISCO GIANTS,MLB,SALAZAR FOR CONGRESS,"$5,600 ",2020,Republican,0.483,
224,Charles Johnson,SAN FRANCISCO GIANTS,MLB,"SANDY SMITH FOR CONGRESS, INC.","$5,600 ",2020,Republican,0.483,
